Source,Target,Weight
BWN,SDAH,1
NDLS,CNB,3
PNBE,RJPB,7
DNR,ARA,2
ARA,MGS,1
CNB,FZD,1
FZD,TDL,3
TDL,AF,2
AF,SWM,1
SWM,BNLW,1
BNLW,DPA,1
DPA,JP,4
JHS,LAR,3
LAR,BINA,2
BPL,HBD,1
HBD,ET,5
ET,GDYA,6
GDYA,BZU,6
BZU,AMLA,6
AMLA,MTY,3
MTY,PAR,3
PAR,NRKR,3
NRKR,KATL,2
KATL,NGP,4
NGP,WR,4
NJP,BOE,1
BOE,KIR,3
KIR,KGG,2
KGG,SPJ,2
GKP,SCC,1
SCC,MB,1
NZM,JHS,2
JHS,BPL,4
BPL,NGP,3
NGP,BPQ,3
BPQ,KZJ,2
KZJ,SC,5
UMB,PNP,2
NDLS,NZM,3
NZM,KOTA,4
KOTA,BRC,4
BRC,BSR,1
BSR,PNVL,3
RN,PERN,1
PERN,THVM,1
JP,JOB,1
JOB,FL,1
FL,SBR,2
SBR,KMNC,1
KMNC,MKN,2
MKN,GCH,1
GCH,DNA,1
DNA,REN,1
REN,MTD,1
MTD,MDW,2
MDW,NGO,2
NGO,NOK,4
NOK,DSO,2
DSO,BKN,2
BKN,LGH,2
LGH,KLYT,1
KLYT,PLCJ,1
PLCJ,RDRA,2
RDRA,AQG,1
AQG,SBLT,1
SBLT,JSM,2
DLI,SSB,1
SSB,BGZ,2
BGZ,SPZ,1
SPZ,ROK,1
ROK,JIND,2
JIND,NRW,2
NRW,JHL,1
JHL,MSZ,1
MSZ,MAUR,1
MAUR,BTI,1
BTI,GDB,2
GDB,MOT,3
MOT,ABS,2
ABS,SGNR,3
UMB,NDLS,3
BRC,ST,5
ST,BSR,2
PNVL,CHI,4
RN,MAO,1
MAO,UD,1
CLT,SRR,1
TCR,ERS,3
ERS,ALLP,3
ALLP,KYJ,2
DDR,BVI,3
BVI,VAPI,4
VAPI,ST,2
ST,BRC,6
ND,ADI,4
ADI,MSH,4
MSH,PNU,4
PNU,BLDI,1
BLDI,DQN,1
DQN,RNV,1
RNV,MBNL,1
MBNL,MON,1
MON,JOR,1
JOR,MKSR,1
MKSR,SMR,1
SMR,LUNI,1
LUNI,JU,4
JU,NGO,1
NGO,BKN,1
MGS,PPTA,1
PPTA,KIR,1
KIR,NJP,1
NJP,NBQ,1
NBQ,GLPT,2
GLPT,GHY,1
ANVT,ALJN,1
DNR,PPTA,2
PPTA,BJU,1
BJU,BGS,3
BGS,KGG,3
KGG,MNE,4
