Source,Target,Weight
KIR,BGS,1
BGS,BJU,2
BJU,HJP,1
HJP,CPR,2
CPR,BUI,4
BUI,BSB,1
BSB,LKO,1
LKO,BE,1
BE,MB,7
MB,NDLS,1
NDLS,MB,1
BE,LKO,4
LKO,BSB,1
BSB,BUI,1
BUI,CPR,4
CPR,HJP,1
HJP,BJU,2
BJU,BGS,2
BGS,KIR,1
KIR,KNE,3
NOQ,KOJ,3
KOJ,NBQ,4
NBQ,RNY,3
RNY,GHY,2
GHY,HJI,2
HJI,LMG,3
LMG,DPU,5
DPU,DMV,5
DMV,MXN,1
MXN,NTSK,2
NTSK,DBRT,1
BSP,R,4
R,DURG,9
DURG,RJN,6
RJN,G,3
G,NGP,4
GWL,NDLS,1
NDLS,GWL,1
GWL,JHS,9
JHS,BPL,4
BPL,NGP,2
NGP,G,5
HLZ,TMZ,1
TMZ,PKU,2
PKU,KGP,2
KGP,TATA,3
TATA,PRR,1
PRR,KNF,1
KNF,GMO,1
GMO,GAYA,1
CNB,GZB,1
GZB,ANVT,5
PNP,UMB,2
JAT,RMJK,1
RMJK,UHP,1
UHP,SVDK,2
SVDK,UHP,1
UHP,RMJK,2
RMJK,JAT,1
JAT,KTHU,4
KTHU,PTKC,4
PTKC,JRC,2
JRC,LDH,4
LDH,UMB,4
UMB,PNP,3
PNP,NDLS,3
MKP,CKTD,2
CKTD,ATE,1
ATE,BNDA,1
BNDA,MBA,1
MBA,KLAR,2
KLAR,HPP,2
HPP,MRPR,2
MRPR,JHS,2
JHS,AGC,3
AGC,MTJ,4
MTJ,NZM,1
AGC,JHS,2
JHS,MRPR,1
MRPR,HPP,1
HPP,KLAR,1
KLAR,MBA,1
MBA,BNDA,1
BNDA,ATE,2
ATE,CKTD,2
CKTD,MKP,1
MGS,GHD,1
GHD,DTO,2
DTO,BRKA,2
BRKA,RNC,1
BKN,LGH,2
LGH,LKS,1
LKS,SOG,1
SOG,JES,1
JES,RSNR,1
RSNR,GJS,1
GJS,SRW,1
SRW,KESR,1
KESR,SGNR,1
SGNR,ABS,3
ABS,MOT,3
MOT,GDB,2
GDB,BTI,2
BTI,BNN,1
BNN,DUI,3
DUI,SAG,2
SAG,JHL,2
JHL,JIND,1
JIND,ROK,1
ROK,DEE,1
BKN,NPS,1
NPS,SDF,1
SDF,SDGH,1
SDGH,RJR,1
RJR,RTGH,1
RTGH,CUR,2
CUR,SDLP,2
SDLP,LHU,2
LHU,MHRG,2
MHRG,RE,2
NDLS,SNP,1
SNP,PNP,3
PNP,KUN,4
KUN,KKDE,3
SIR,LDH,1
LDH,PHR,6
PHR,PGW,5
JU,RKB,1
RKB,GOTN,1
GOTN,MTD,1
MTD,DNA,2
DNA,MKN,3
MKN,KMNC,2
KMNC,NAC,1
NAC,FL,1
JP,DPA,5
DPA,BNLW,3
BNLW,ISA,1
ISA,CKB,1
CKB,SWM,1
SWM,IDG,5
IDG,LKE,2
LKE,KOTA,2
KOTA,DKNT,3
DKNT,RMA,1
RMA,BWM,1
BWM,SGZ,2
SGZ,SVA,2
SVA,CMU,2
CMU,VMA,2
VMA,NAD,1
UJN,DWX,6
DWX,INDB,6
BTI,PUL,2
PUL,TAPA,2
TAPA,BNN,2
JHL,ROK,1
ROK,NDLS,1
NDLS,MTJ,4
AGC,GWL,9
JHS,BINA,5
BINA,BPL,7
BPL,ET,5
KNW,MKU,2
MKU,AK,2
PAU,NED,4
BNC,WFD,1
WFD,KPD,1
KPD,PER,1
PER,BZA,1
BZA,DVD,1
DVD,VSKP,8
VSKP,VZM,11
VZM,CHE,7
CHE,PSA,7
PSA,BAM,7
BAM,KUR,5
KUR,BBS,17
CTC,BHC,6
BHC,KGP,1
HWH,RPH,1
RPH,MLDT,2
NJP,NBQ,1
TVC,QLN,5
QLN,KYJ,9
KYJ,MVLK,6
MVLK,CNGR,6
CNGR,TRVL,7
TRVL,KTYM,5
KTYM,ERN,9
ERN,AWY,7
AWY,TCR,14
TCR,PGT,11
PGT,CBE,15
CBE,TUP,19
TUP,ED,21
ED,SA,25
SA,JTJ,13
JTJ,KPD,14
KPD,AJJ,10
AJJ,MAS,3
MAS,OGL,2
OGL,BZA,7
BZA,RJY,3
RJY,VSKP,3
BAM,BALU,3
BALU,KUR,4
NJP,DQG,2
DQG,NCB,2
NBQ,BPRD,1
BPRD,RNY,1
RNY,KYQ,3
LMG,MBG,1
MBG,NHLG,1
NHLG,BPB,1
BPB,SCL,1
KYJ,HAD,4
HAD,AMPA,4
AMPA,ALLP,4
ALLP,SRTL,3
SRTL,ERS,3
ERS,AWY,8
AWY,AFK,1
AFK,CKI,1
CKI,IJK,1
IJK,TCR,1
TCR,WKI,1
WKI,SRR,1
SRR,OTP,3
OTP,PGT,5
KPD,MAS,5
MAS,GDR,4
GDR,NLR,13
NLR,OGL,8
OGL,CLX,3
CLX,BZA,1
BZA,KMT,4
KMT,WL,3
WL,RDM,2
RDM,MCI,5
MCI,BPA,4
BPA,SKZR,4
SKZR,BPQ,7
BPQ,CD,7
CD,HGT,3
HGT,SEGM,4
SEGM,NGP,3
NGP,PAR,3
PAR,AMLA,3
AMLA,BZU,6
BZU,GDYA,5
GDYA,ET,5
ET,BPL,3
BPL,LAR,2
LAR,JHS,2
JHS,ORAI,4
ORAI,PHN,2
PHN,CNB,2
CNB,ON,6
ON,LJN,3
LJN,BNZ,3
BNZ,BBK,3
BBK,GD,3
GD,MUR,4
MUR,BST,2
BST,KLD,3
KLD,GKP,2
KOAA,BDC,1
BDC,NDAE,2
NDAE,KWAE,3
KWAE,AZ,1
AZ,MLDT,2
MLDT,NJP,2
NCB,FKM,1
FKM,NBQ,1
GHY,JID,2
JID,CPK,2
CPK,HJI,1
DMV,BXJ,2
BXJ,MXN,1
MXN,SLGR,2
SLGR,NTSK,2
NTSK,DBRG,3
MFP,CAA,1
CAA,BMKI,3
BMKI,SGL,4
SGL,BTH,2
BTH,CAI,1
CAI,NKE,1
NKE,HIR,1
HIR,BUG,1
BUG,SBZ,2
SBZ,GKP,1
BSB,MUV,1
KYQ,RNY,5
NBQ,NOQ,4
KNE,BOE,3
BOE,MLDT,2
MLDT,RPH,1
