Source,Target,Weight
DDA,SV,2
MW,BTK,1
BTK,BHTR,1
BHTR,BTT,2
BTT,DEOS,4
DEOS,GB,1
GB,CC,1
CC,GKP,1
GKP,SWA,1
SWA,KLD,1
KLD,MND,1
MND,BST,1
BST,BV,3
BV,MSW,2
MSW,MUR,3
MUR,GD,5
GD,CLJ,2
CLJ,BUW,1
BUW,BBK,1
BBK,LKO,4
LKO,ON,2
ON,CNB,7
CNB,GOY,2
GOY,BZM,1
BZM,PMN,1
PMN,LLR,1
LLR,PHN,1
PHN,ORAI,3
ORAI,AIT,2
AIT,MOTH,2
MOTH,CGN,2
CGN,JHS,2
JHS,DAA,2
DAA,DBA,1
DBA,GWL,1
GWL,SVPI,1
SVPI,BDWS,1
BDWS,GUNA,1
GUNA,RTA,3
RTA,BRRG,1
BRRG,SFY,1
SFY,MKC,2
MKC,UJN,2
UJN,DWX,6
DWX,INDB,6
LTT,KYN,7
IGP,DVL,2
DVL,NK,2
MMR,RGO,1
RGO,LSR,2
LSR,AWB,2
AWB,J,2
J,PTU,2
PTU,SELU,2
SELU,PBN,1
PBN,PAU,3
PAU,NED,3
NED,MUE,3
MUE,UMRI,3
UMRI,DAB,3
DAB,BSX,5
BSX,NZB,4
JBP,SHR,3
SHR,KTES,2
KTES,UMR,1
UMR,BRS,1
BRS,SDL,1
SDL,BUH,1
BUH,APR,1
APR,KTMA,1
KTMA,BJRI,1
BJRI,BRH,1
BRH,KTO,2
KTO,BSPR,1
BSPR,ABKP,1
HYB,BMT,3
BMT,SNF,2
SNF,LPI,1
LPI,SKP,2
SKP,VKB,2
VKB,TDU,4
TDU,NAW,1
NAW,KQT,1
KQT,SEM,2
SEM,MQR,2
MQR,CT,2
CT,NW,1
NW,YG,2
YG,SADP,2
SADP,KSN,2
KSN,RC,2
MALM,KO,2
KO,AD,1
AD,GTL,5
GTL,BAY,2
BAY,DAJ,1
DAJ,TNGL,2
TNGL,HPT,1
HPT,KBL,2
KBL,GDG,2
GDG,UBL,4
UBL,DWR,3
DWR,LWR,1
LWR,LD,1
LD,BGM,2
BGM,GPB,1
GPB,RBG,1
RBG,KUD,1
KUD,MRJ,1
MRJ,HTK,1
HTK,KOP,1
MMR,NSL,2
NSL,RGO,1
SELU,MVO,1
MVO,PBN,1
MUE,BOKR,1
BOKR,HEM,1
HEM,SHSK,1
SHSK,BHBK,1
BHBK,KNVT,1
KNVT,ADB,1
ADB,PMKT,1
PMKT,LNT,1
LNT,KAYR,1
KAYR,WANI,1
WANI,MJRI,1
MJRI,WRR,2
WRR,HGT,1
HGT,SEGM,2
SEGM,NGP,6
URI,DD,2
DD,JEUR,1
JEUR,KWV,2
KWV,BTW,1
BTW,UMD,1
LTRR,PRLI,2
PRLI,PBN,1
PAU,HNL,2
HNL,WHM,3
WHM,AK,3
BD,AMI,2
SVDK,UHP,3
UHP,JAT,4
JAT,KTHU,4
KTHU,PTKC,4
PTKC,DZA,1
DZA,JRC,1
JRC,LDH,7
LDH,DUI,2
DUI,SAG,1
SAG,SFMU,1
SFMU,JHL,1
JHL,NRW,1
NRW,JIND,2
JIND,ROK,3
ROK,BGZ,2
BGZ,SSB,3
SSB,DKZ,3
DKZ,NDLS,2
FDB,MTJ,2
MTJ,AGC,5
AGC,MRA,1
GWL,JHS,5
JHS,MAKR,1
MAKR,SGO,1
SGO,DMO,3
DMO,KTE,1
JBP,SRID,1
SRID,NU,3
NU,KY,3
KY,GAR,3
GAR,PPI,3
PPI,SGP,1
SGP,ET,1
ET,HBD,4
HBD,HBJ,4
HBJ,BPL,5
BPL,BIH,6
BIH,SEH,7
SEH,PRB,2
PRB,KPP,1
KPP,SJP,2
SJP,AKD,2
AKD,KSH,1
KSH,BCH,1
BCH,MKC,3
MKC,TAN,3
TAN,UJN,3
UJN,NAD,11
NAD,KUH,3
KUH,RTM,3
RTM,MGN,4
MGN,DHD,5
DHD,GDA,5
GDA,DRL,1
DRL,BRC,1
ND,MHD,5
MHD,MAN,4
MAN,ADI,9
ADI,CLDY,1
CLDY,VG,2
SUNR,THAN,3
THAN,WKR,3
RJT,BKNG,3
BKNG,GDL,3
GDL,VRR,2
VRR,JLR,2
JLR,JND,2
KSD,MLHA,2
MLHA,VRL,2
VRL,SMNH,2
JBP,DOE,1
DOE,SHR,1
KTES,NKJ,1
NKJ,KHBJ,1
KHBJ,MFQ,1
MFQ,VST,1
VST,BEHR,1
BEHR,MWJ,1
MWJ,NWB,1
NWB,SGAM,1
SGAM,BRGW,1
BRGW,SGRL,2
REWA,STA,2
MYR,JKE,2
JKE,KTE,2
KTE,DMO,3
DMO,PHA,2
PHA,SGO,2
SGO,KYE,2
KYE,BINA,1
MABA,BHS,1
BHS,BIH,3
SEH,SJP,6
SJP,BCH,6
BCH,UJN,5
INDB,DADN,1
NDLS,MTJ,2
JHS,LAR,2
LAR,BPL,2
RNC,MURI,4
MURI,BKSC,2
BKSC,CRP,3
CRP,GMO,2
GMO,DHN,2
DHN,ASN,3
ASN,RNG,4
RNG,DGR,2
DGR,HWH,1
SBC,BNC,7
BNC,KPD,1
KPD,MAS,1
KGM,HDW,3
HDW,LKU,3
LKU,RUPC,1
RUPC,RMU,1
RMU,MB,7
MB,GZB,1
GZB,NDLS,3
FZR,FDK,2
FDK,KKP,2
KKP,BTI,1
BTI,MSZ,1
MSZ,JHL,1
JHL,TUN,2
TUN,JIND,1
ROK,NDLS,1
NDLS,SZM,2
SZM,SNP,1
SNP,PNP,2
PNP,KUN,3
KUN,KKDE,3
KKDE,UMB,3
UMB,CDG,3
CDG,SASN,2
SASN,RPAR,1
RPAR,KART,1
KART,ANSB,2
ANSB,NLDM,2
NLDM,UHL,1
GHY,CPK,2
CPK,HJI,1
HJI,LKA,3
LKA,LMG,3
LMG,DPU,4
DPU,DMV,4
DMV,BXJ,1
BXJ,FKG,1
FKG,MXN,1
MXN,JTTN,1
CLT,TIR,1
TIR,SRR,1
SRR,TCR,4
TCR,AWY,13
AWY,ERS,6
ERS,SRTL,2
SRTL,ALLP,2
ALLP,KYJ,3
KYJ,QLN,10
QLN,VAK,4
VAK,TVC,2
DBRG,MRHT,1
MRHT,SRTN,1
SRTN,MXN,1
MXN,FKG,1
FKG,DMV,1
DMV,DPU,1
DPU,LMG,1
LMG,CPK,1
CPK,GHY,1
HWH,KGP,2
KGP,TATA,2
TATA,CKP,2
CKP,ROU,2
ROU,JSG,2
JSG,BSP,2
BSP,R,1
R,DURG,4
DURG,G,1
G,NGP,3
NGP,BD,1
BD,AK,4
AK,BSL,4
BSL,IGP,2
NGP,WR,2
WR,BD,3
BSL,MMR,9
MMR,ANG,1
ANG,DD,3
MMR,LS,2
LS,NR,1
NR,NK,1
IGP,KSRA,1
KSRA,KYN,1
KKP,GJUT,1
GJUT,GNA,1
GNA,BTI,1
BTI,MAUR,1
MAUR,MSZ,1
MSZ,BLZ,1
BLZ,BRZ,1
BRZ,JHL,1
TUN,NRW,1
NDLS,FDB,1
FDB,KSV,1
DBA,DAA,3
BAB,LAR,1
LAR,BINA,2
BINA,BAQ,2
BAQ,BHS,3
BHS,BPL,5
HBJ,HBD,1
BPF,HD,1
KKN,KNW,1
KNW,BAU,1
JL,CSN,1
KYN,DR,4
PPTA,DNR,2
DNR,ARA,6
ARA,BXR,6
BXR,MGS,7
MGS,STA,1
JBP,BSL,1
SLN,MFKA,2
MFKA,NHH,2
NHH,LKO,3
LKO,CNB,2
CNB,ORAI,3
ORAI,JHS,5
JHS,BINA,4
BINA,BPL,3
BPL,KNW,1
KNW,BSL,8
NK,LTT,1
BSL,AK,4
AK,BD,10
BD,NGP,1
NGP,G,7
G,RJN,2
RJN,DURG,5
DURG,R,10
R,BSP,5
BSP,RIG,2
RIG,JSG,2
JSG,ROU,5
ROU,CKP,5
CKP,PRR,2
PRR,ADRA,2
ADRA,BQA,4
BQA,MDN,1
MDN,KGP,2
KGP,SRC,8
SRC,HWH,6
SUR,KWV,3
KWV,JEUR,2
JEUR,DD,1
JHS,BWR,1
BWR,NEW,1
NEW,MRPR,1
MRPR,HPP,2
HPP,KLAR,2
KLAR,MBA,2
MBA,BNDA,1
BNDA,ATE,1
ATE,CKTD,1
CKTD,MKP,1
CAR,MGS,1
MGS,BBU,3
BBU,SSM,3
SSM,DOS,5
DOS,GAYA,3
GAYA,KQR,6
KQR,PNME,1
PNME,GMO,2
ASN,DGR,2
DGR,BWN,3
BWN,HWH,3
LJN,ON,4
CNB,PNK,1
PNK,RURA,1
RURA,JJK,1
JJK,PHD,1
PHD,BNT,1
BNT,ETW,1
ETW,SKB,1
SKB,FZD,1
FZD,TDL,2
TDL,RKM,1
BPL,BHS,2
BHS,BINA,1
BINA,LAR,4
LAR,JHS,6
JHS,ORAI,2
ORAI,CNB,2
CNB,LKO,3
LKO,RBL,3
RBL,AME,1
AME,PBH,3
JBP,MML,2
MML,SRID,2
BHS,BAQ,1
BAQ,BINA,1
DAA,GWL,1
GWL,MRA,2
MRA,DHO,2
DHO,AGC,4
AGC,MTJ,6
MTJ,NZM,6
NZM,NDLS,6
KCVL,QLN,5
QLN,KYJ,7
KYJ,CNGR,3
CNGR,TRVL,9
TRVL,KTYM,5
KTYM,ERN,6
ERN,TCR,2
TCR,SRR,7
SRR,TIR,3
TIR,CLT,3
CLT,CAN,4
CAN,KGQ,4
KGQ,MAJN,5
MAJN,UD,5
UD,BIJR,1
BIJR,ANKL,1
ANKL,KAWR,2
KAWR,MAO,4
MAO,KRMI,3
KRMI,SWV,1
SWV,RN,1
RN,PNVL,3
PNVL,TNA,4
ASR,BEAS,4
BEAS,JUC,4
JUC,LDH,1
LDH,UMB,7
UMB,NDLS,2
NDLS,MB,1
MB,BE,5
BE,HRI,2
HRI,LKO,6
LKO,GKP,1
GKP,DEOS,2
DEOS,SV,1
SV,CPR,2
CPR,HJP,1
HJP,MFP,5
MFP,SPJ,3
SPJ,DSS,1
DSS,BJU,1
BJU,BGS,2
BGS,KGG,1
KGG,SBV,1
SBV,SHC,2
MFP,BMKI,2
BMKI,SGL,5
SGL,BTH,2
BTH,NKE,1
NKE,BUG,1
BUG,GKP,1
GKP,BST,5
BST,GD,4
GD,LKO,1
LKO,SPN,1
SPN,BE,4
BE,MB,4
MB,ANVT,1
CDG,UMB,3
NZM,KOTA,3
KOTA,BRC,1
BRC,BSR,2
BSR,PNVL,5
PNVL,RN,1
RN,MAO,1
MAO,UD,1
UD,MAJN,2
MAJN,KGQ,2
KGQ,CAN,3
CAN,CLT,2
CLT,SRR,3
TCR,ERS,1
ERS,ALLP,3
QLN,KCVL,2
PUNE,DD,7
DD,MMR,1
MMR,BSL,6
BSL,NGP,4
NGP,BSP,2
BSP,TATA,2
TATA,HWH,2
AMH,KRND,1
SHG,MLPR,3
MLPR,ABP,3
ABP,AY,1
AY,FD,2
FD,RDL,1
RDL,BBK,1
BBK,LJN,3
CNB,ETW,2
ETW,ALJN,1
ALJN,DLI,1
DLI,ALJN,1
ALJN,ETW,1
ETW,CNB,3
LJN,BBK,1
BBK,RDL,2
RDL,FD,2
FD,AY,4
AY,ABP,2
ABP,MLPR,1
MLPR,SHG,1
KRND,AMH,1
NDLS,GZB,1
GZB,HPU,4
HPU,MB,2
MB,RMU,4
RMU,BE,4
BE,SPN,6
SPN,HRI,6
JAT,PTKC,4
PTKC,JRC,6
UMB,SRE,3
SRE,MB,1
MB,SPN,1
SPN,LKO,3
LKO,NHH,3
NHH,SLN,2
SLN,JOP,3
JOP,BSB,4
SASN,LDH,1
LDH,JUC,3
JUC,BEAS,6
BEAS,ASR,6
BDTS,ST,1
ST,BRC,6
BRC,RTM,3
RTM,KOTA,3
KOTA,MTJ,1
YPR,DMM,1
DMM,ATP,5
ATP,DHNE,1
DHNE,KRNT,4
KRNT,MBNR,1
MBNR,KCG,2
KCG,KZJ,2
KZJ,BPQ,2
BPQ,CAF,1
CAF,MME,1
MME,NAB,1
NAB,WSA,1
WSA,SNV,1
SNV,G,1
G,DGG,2
DGG,RJN,3
R,BYT,4
BYT,BSP,4
BSP,AKT,2
AKT,NIA,2
NIA,CPH,3
CPH,KRBA,1
YPR,KJM,3
KJM,JTJ,1
JTJ,KPD,8
KPD,RU,1
RU,GDR,4
GDR,NLR,10
NLR,OGL,10
OGL,BZA,7
BZA,RJY,4
RJY,DVD,1
DVD,VSKP,5
VSKP,VZM,7
VZM,BAM,2
BAM,KUR,3
KUR,BBS,11
BBS,CTC,10
CTC,BHC,2
BHC,BLS,8
BLS,KGP,5
KGP,HWH,2
HWH,BWN,4
BWN,ASN,2
ASN,MDP,4
MDP,JSME,12
JSME,KIUL,1
KIUL,AHA,3
AHA,JMP,3
JMP,BGP,1
CSMT,IGP,2
IGP,BSL,2
LNL,BSR,1
BSR,BRC,1
KOTA,NZM,2
KOTA,RTM,2
RTM,BRC,5
BSR,LNL,1
NDLS,ALD,1
BWN,MDP,1
JSME,PNBE,1
PNBE,MGS,5
MGS,ALD,3
ALD,CNB,5
CNB,NDLS,3
SDAH,DGR,1
DGR,ASN,4
ASN,DHN,1
DHN,GAYA,1
GAYA,MGS,1
MGS,CNB,2
KOAA,BWN,1
JSME,JAJ,9
JAJ,PNC,1
PNC,PNBE,7
CNB,TDL,1
TDL,AF,2
AF,SWM,1
SWM,JP,1
JP,AII,4
AII,NSD,1
NSD,BJNR,1
BJNR,BHL,1
BHL,COR,3
COR,MVJ,1
MVJ,RPZ,2
RPZ,UDZ,2
HWH,ASN,1
ASN,CRJ,7
CRJ,MDP,6
JAJ,JMU,2
JMU,KIUL,1
KIUL,MKA,1
MKA,BKP,1
BKP,PNC,2
PNBE,DNR,6
MGS,BSB,4
BSB,JOP,1
JOP,SLN,1
SLN,NHH,1
LKO,BE,2
MB,SRE,1
SRE,YJUD,7
YJUD,UMB,6
UMB,LDH,6
LDH,PGW,2
PGW,JRC,5
JRC,PTKC,3
PTKC,KTHU,4
KTHU,JAT,2
SDAH,BWN,2
BWN,BHP,2
BHP,MLDT,1
MLDT,KNE,2
KNE,NJP,6
BWN,DGR,3
DGR,RNG,1
RNG,ASN,4
JMU,MNP,1
MNP,BSQP,2
BSQP,KIUL,2
KIUL,LKR,4
LKR,BRYA,2
BRYA,HTZ,3
HTZ,MKA,3
MKA,BARH,3
BARH,BKP,3
BKP,KOO,2
KOO,FUT,4
FUT,PNC,4
PNC,RJPB,4
RJPB,PNC,3
PNC,FUT,3
FUT,KOO,4
KOO,BKP,1
BKP,BARH,3
BARH,MKA,4
MKA,HTZ,3
HTZ,BRYA,2
BRYA,LKR,1
LKR,KIUL,5
KIUL,BSQP,1
BSQP,MNP,1
MNP,JMU,1
JMU,JAJ,2
JAJ,JSME,4
JSME,MDP,5
MDP,CRJ,2
CRJ,ASN,3
JAJ,KIUL,4
KIUL,PNC,2
PNBE,BXR,1
MGS,MZP,2
MZP,STA,1
STA,KTE,7
MMR,KYN,2
PNBE,TEA,1
TEA,JHD,1
JHD,GAYA,1
KQR,HZD,3
HZD,PNME,1
GMO,CRP,3
CRP,BKSC,4
BKSC,MURI,4
MURI,RNC,5
GMO,PNME,3
PNME,HZD,3
HZD,KQR,1
KQR,GAYA,2
GAYA,JHD,1
JHD,TEA,2
TEA,PNBE,2
HW,MB,1
BE,LKO,1
SLN,BSB,1
BSB,MGS,7
MGS,DLN,1
DLN,BXR,1
BXR,PNBE,1
PNBE,PNC,4
PNC,MKA,2
MKA,KIUL,2
KIUL,JMU,2
MDP,ASN,1
ASN,HWH,1
BHP,RPH,3
RPH,MLDT,2
NJP,MHBA,1
MHBA,NCB,2
NCB,NOQ,3
GAYA,DOS,2
DOS,SSM,4
SSM,BBU,1
BBU,MGS,1
MGS,MKP,1
ET,NGP,3
NGP,BPQ,3
BPQ,WL,1
WL,BZA,4
BZA,OGL,3
OGL,NLR,3
NLR,MS,1
GAYA,GRRU,2
GRRU,RFJ,2
RFJ,AUBR,1
AUBR,DOS,1
SSM,KTQ,3
KTQ,BBU,4
BBU,CDMR,1
CDMR,MGS,2
MGS,BDL,1
BDL,ALD,1
CNB,ALJN,1
ALJN,NDLS,1
NDLS,CNB,5
CNB,ALD,4
ALD,MGS,3
MGS,DNR,1
DNR,PPTA,2
PPTA,BJU,2
BJU,NNA,1
NNA,KIR,1
KIR,KNE,1
NJP,NCB,1
NCB,KOJ,1
KOJ,NBQ,3
NBQ,GHY,2
CPK,LMG,1
DMV,MXN,1
MXN,NTSK,1
NTSK,DBRT,1
NDLS,LDH,1
LDH,PTKC,1
PTKC,LDH,1
LDH,NDLS,1
RNC,BKSC,1
BKSC,KQR,1
DOS,MGS,1
CNB,MGS,3
MGS,DOS,1
KQR,BKSC,1
BKSC,RNC,1
DEE,ROK,1
ROK,JIND,3
JIND,JHL,1
JHL,SAG,1
SAG,DUI,3
DUI,BNN,1
BNN,BTI,1
BTI,GDB,1
GDB,MOT,1
MOT,ABS,1
ABS,SGNR,1
SGNR,KESR,1
KESR,SRW,1
SRW,GJS,1
GJS,RSNR,1
RSNR,JES,1
JES,SOG,1
SOG,LKS,1
LKS,LGH,1
LGH,BKN,1
DEE,DEC,2
DEC,AWR,1
AWR,JP,1
JP,MKN,1
MKN,DNA,5
DNA,MTD,4
MTD,JU,3
INDB,DWX,5
DWX,UJN,4
NAD,VMA,2
VMA,CMU,2
CMU,SVA,4
SVA,SGZ,4
SGZ,BWM,4
BWM,RMA,1
RMA,DKNT,1
DKNT,KOTA,4
KOTA,LKE,2
LKE,IDG,4
IDG,SWM,5
SWM,CKB,1
CKB,ISA,1
ISA,BNLW,1
BNLW,DPA,4
DPA,JP,7
JP,FL,5
FL,NAC,1
NAC,KMNC,1
KMNC,MKN,2
MTD,GOTN,2
GOTN,RKB,1
RKB,JU,1
KYJ,ALLP,3
ALLP,ERS,3
ERS,TCR,3
SRR,CLT,2
UD,MAO,1
MAO,RN,2
RN,CHI,1
CHI,PNVL,1
BSR,ST,2
BRC,KOTA,1
NDLS,UMB,4
BRC,ST,10
ST,VAPI,7
VAPI,BSR,2
BSR,KYN,4
NDLS,SNP,1
UMB,RPJ,3
RPJ,KNN,1
KNN,DOA,1
DOA,LDH,1
PGW,JUC,2
JUC,PGW,2
PGW,LDH,4
LDH,DOA,1
DOA,KNN,1
KNN,RPJ,1
RPJ,UMB,2
UMB,KKDE,3
KKDE,KUN,3
KUN,PNP,3
