Source,Target,Weight
MCI,RDM,4
RDM,PDPL,2
PDPL,JMKT,1
JMKT,KZJ,1
BHUJ,AJE,1
AJE,AI,1
AI,GIMB,1
GIMB,BCOB,3
BCOB,SIOB,3
SIOB,DHG,1
DHG,VG,1
VG,ADI,8
ADI,ND,12
ND,ANND,15
ANND,BRC,15
BRC,BH,13
BH,ST,12
ST,NVS,5
NVS,BL,5
BL,VAPI,11
VAPI,BSR,2
BSR,BIRD,3
BIRD,KYN,3
LNL,SVJR,2
SVJR,PUNE,6
PUNE,LNL,5
LNL,KJT,3
KYN,BIRD,3
BIRD,BSR,5
BSR,VAPI,2
VAPI,BL,8
BL,NVS,3
NVS,ST,4
ST,BH,4
BH,BRC,4
BRC,ANND,13
ANND,ND,11
ND,MAN,5
MAN,ADI,9
ADI,VG,16
VG,DHG,5
DHG,SIOB,2
SIOB,BCOB,7
BCOB,GIMB,7
GIMB,AI,4
AI,AJE,4
AJE,BHUJ,3
VAPI,DRD,2
DRD,BSR,1
ERS,AWY,5
AWY,TCR,10
TCR,SRR,5
SRR,TIR,3
TIR,CLT,3
CLT,TLY,1
TLY,CAN,8
CAN,PAY,3
PAY,KZE,4
KZE,KGQ,4
KGQ,MAJN,4
MAJN,UD,3
UD,KUDA,4
KUDA,BTJL,1
BTJL,MRDW,1
MRDW,HNA,1
HNA,KT,2
KT,GOK,2
GOK,KAWR,1
KAWR,MAO,5
MAO,SVM,2
SVM,QLM,2
QLM,CLR,2
CLR,LD,2
LD,BGM,4
BGM,GPB,3
GPB,MRJ,1
MRJ,SLI,5
SLI,KRD,5
KRD,STR,5
STR,PUNE,5
GWL,DBA,2
DBA,DAA,2
DAA,JHS,2
JHS,BWR,1
BWR,NEW,1
NEW,MRPR,1
MRPR,HPP,1
HPP,BTX,1
BTX,KLAR,1
KLAR,MBA,1
MBA,MTH,1
MTH,BNDA,1
BNDA,KHU,1
KHU,ATE,1
ATE,BTKP,1
BTKP,CKTD,1
CKTD,MKP,1
MKP,DBR,3
DBR,BRG,2
BRG,SRJ,2
SRJ,NYN,2
NYN,ALD,4
ALD,PRG,4
PRG,PFM,3
PFM,PLP,1
PLP,URPR,1
URPR,JNH,1
JNH,SAW,1
SAW,BOY,1
BOY,BSB,4
BSB,CHH,1
CHH,SWPR,2
SWPR,KEH,2
KEH,PRF,2
PRF,BOY,2
BOY,MOF,2
MOF,SAW,2
SAW,SQN,2
SQN,JNH,2
JNH,URPR,1
URPR,PLP,2
PLP,PFM,1
PFM,PRG,3
PRG,ALD,2
ALD,NYN,1
NYN,SRJ,1
SRJ,BRG,1
BRG,DBR,1
DBR,MKP,1
MKP,CKTD,2
CKTD,BTKP,1
BTKP,ATE,1
ATE,KHU,1
KHU,BNDA,1
BNDA,MTH,1
MTH,MBA,1
MBA,KLAR,2
KLAR,BTX,1
BTX,HPP,1
HPP,MRPR,2
