Source,Target,Weight
ALLP,SRTL,2
SRTL,ERS,1
ERS,AWY,7
AWY,TCR,9
TCR,SRR,6
SRR,TIR,3
TIR,CLT,3
CBE,IGU,1
IGU,TUP,1
TUP,ED,9
KRR,TPJ,4
TPJ,TJ,1
TJ,PML,1
PML,KMU,1
KMU,MV,1
GHY,CPK,1
CPK,LMG,1
LMG,DPU,3
DPU,DMV,3
DMV,FKG,1
FKG,MXN,2
MXN,SRTN,1
SRTN,MRHT,2
MRHT,DBRG,3
KYN,BSL,2
BSL,AK,5
AK,BD,6
BD,NGP,3
NGP,G,6
G,DURG,4
R,BSP,1
BSP,JSG,1
JSG,ROU,7
ROU,CKP,4
CKP,TATA,3
TATA,KGP,4
KGP,HWH,2
BPL,ET,7
BSL,MMR,4
KPG,DD,2
CSMT,DR,5
NK,NR,1
NR,LS,1
DR,TNA,4
KJT,KAD,2
KAD,LNL,2
PUNE,DD,7
DD,BGVN,2
BGVN,JEUR,2
JEUR,KWV,3
KWV,MO,1
MO,SUR,1
SUR,MO,1
MO,MA,1
MA,KWV,1
KWV,JEUR,1
JEUR,BGVN,2
BGVN,DD,2
LNL,KAD,1
KAD,KJT,1
KJT,PNVL,1
LNL,TNA,1
CSMT,TNA,1
TNA,PNVL,5
PNVL,RN,3
KKW,MAO,1
KAWR,KT,2
KT,BTJL,2
BTJL,BYNR,3
BYNR,KUDA,3
UD,SL,2
SL,MAJN,1
DD,ANG,3
ANG,BAP,3
BAP,KPG,2
KPG,MMR,5
CSN,JL,1
BSL,MKU,1
MKU,SEG,1
SEG,AK,1
WR,AJNI,1
AJNI,NGP,1
MMR,JL,1
BSL,JBP,1
JBP,STA,2
STA,MGS,1
MGS,BXR,4
BXR,ARA,5
ARA,DNR,4
DNR,PPTA,1
R,MSMD,4
MSMD,KRAR,4
KRAR,KBJ,3
KBJ,TIG,4
TIG,BUDM,2
BUDM,BLGR,1
BLGR,BRGA,5
BRGA,SBP,5
SBP,SBPD,8
SBPD,ANGL,1
ANGL,TLHR,2
TLHR,DNKL,2
DNKL,CTC,3
CTC,BBS,11
BBS,KUR,17
KUR,PURI,3
ET,JBP,5
KTE,MYR,6
STA,ACOI,2
ACOI,MGS,2
IGP,BSL,2
HBD,HBJ,1
AMI,DMN,1
WR,SNI,1
SNI,NGP,1
NGP,KATL,1
KATL,NRKR,1
NRKR,PAR,1
PAR,AMLA,1
AMLA,BZU,2
BZU,ET,1
ET,SGP,1
SGP,PPI,1
PPI,GAR,1
GAR,KY,1
KY,NU,1
NU,SRID,1
SRID,MML,1
MML,JBP,3
MKP,ACOI,1
ACOI,BSB,1
DD,JEUR,1
KWV,SUR,4
BSL,BPL,1
BPL,JHS,4
LKO,RBL,3
RBL,AME,2
AME,PBH,3
BAQ,MABA,2
MYR,UHR,2
UHR,STA,2
JBP,SHR,1
SHR,KTE,1
STA,JTW,1
JTW,MJG,1
MJG,CKTD,1
CKTD,ATE,1
ATE,BNDA,1
BNDA,MBA,1
MBA,BTX,1
BTX,HPP,1
HPP,MRPR,1
MRPR,NEW,1
NEW,JHS,1
JHS,DAA,2
DAA,DBA,2
DBA,GWL,2
GWL,MRA,3
MRA,DHO,3
DHO,AGC,3
AGC,RKM,4
RKM,MTJ,4
MTJ,KSV,2
PWL,BVH,1
BVH,FDB,1
YPR,HUP,1
HUP,DMM,3
DMM,ATP,4
ATP,DHNE,1
DHNE,KRNT,2
KRNT,GWD,2
GWD,MBNR,2
MBNR,KCG,1
KCG,MJF,4
MJF,KZJ,1
KZJ,RDM,1
RDM,SKZR,1
SKZR,BPQ,3
BPQ,NGP,4
NGP,ET,3
NU,MML,1
AF,IDH,4
IDH,AH,3
AH,BTE,3
BTE,NBI,3
NBI,KL,3
KL,MURD,3
MURD,BKI,3
BKI,DO,4
DO,GTJT,2
GTJT,GADJ,1
GADJ,JP,4
JP,KSG,2
KSG,AII,4
AII,KSG,4
KSG,JP,1
JP,GADJ,7
GADJ,GTJT,3
GTJT,DO,2
DO,BKI,6
BKI,MURD,2
MURD,KL,2
KL,NBI,3
NBI,BTE,3
BTE,AH,5
AH,IDH,2
IDH,AF,3
RK,MOZ,1
JAT,KTHU,3
PTKC,JRC,5
JRC,LDH,6
LDH,UMB,7
UMB,YJUD,3
YJUD,SRE,4
SRE,LRJ,3
LRJ,MB,2
MB,RMU,3
RMU,BLQR,1
BLQR,RUPC,1
RUPC,LKU,1
LKU,HDW,2
HDW,KGM,2
NDLS,MB,1
MB,BE,9
BE,LKO,5
LKO,BSB,2
BSB,BUI,1
BUI,CPR,5
CPR,HJP,3
HJP,MFP,11
MFP,SPJ,10
SPJ,KIR,1
KIR,KNE,1
KNE,NJP,6
NJP,NCB,5
NCB,NOQ,5
NOQ,KOJ,5
KOJ,NBQ,5
NBQ,GHY,1
GHY,HJI,2
HJI,LMG,1
DMV,MXN,1
MXN,SLGR,2
SLGR,MRHT,1
BSB,JOP,4
JOP,SLN,3
SLN,NHH,2
NHH,LKO,6
LKO,SPN,5
SPN,MB,1
MB,SRE,1
SRE,UMB,2
UMB,LDH,5
LDH,JRC,7
JRC,PTKC,6
PTKC,JAT,3
JP,SWM,1
SWM,RTM,1
RTM,BRC,5
BRC,BCT,1
ASR,BEAS,7
BEAS,JUC,7
JUC,LDH,6
LDH,SASN,1
SASN,CDG,1
YPR,RU,1
RU,BZA,2
BZA,VZM,1
VZM,BBS,1
BBS,HWH,1
ANVT,CNB,5
CNB,ALD,10
ALD,MGS,6
MGS,DHN,1
DHN,ASN,4
ASN,HWH,3
KRBA,CPH,2
CPH,NIA,4
NIA,AKT,2
AKT,BSP,2
BSP,BYT,3
BYT,R,3
R,DURG,10
DURG,RJN,3
RJN,DGG,3
DGG,G,2
G,SNV,1
SNV,WSA,1
WSA,NAB,1
NAB,MME,1
MME,CAF,1
CAF,BPQ,2
BPQ,KZJ,1
KZJ,KCG,1
KCG,MBNR,1
MBNR,KRNT,1
KRNT,DHNE,3
DHNE,ATP,1
ATP,DMM,6
DMM,YNK,1
YNK,YPR,1
DEE,LDH,1
LDH,JAT,1
JAT,LDH,1
LDH,DEE,1
MTJ,FDB,2
ALD,STA,2
STA,BSL,1
BSL,IGP,1
IGP,LTT,1
JU,MTD,4
MTD,DNA,6
DNA,MKN,5
MKN,KMNC,3
KMNC,NAC,2
NAC,JP,1
JP,BTE,2
AH,AF,2
AF,TDL,8
TDL,ETW,3
ETW,CNB,3
CNB,FTP,2
FTP,ALD,2
ALD,MZP,1
MZP,MGS,1
MGS,BBU,2
BBU,SSM,2
SSM,DOS,4
DOS,AUBR,3
AUBR,GAYA,2
GAYA,KQR,2
KQR,PNME,2
PNME,DHN,2
ASN,BWN,1
BWN,HWH,4
NDLS,CNB,3
MGS,PNBE,4
PNBE,RJPB,3
HW,MB,1
LKO,NHH,5
NHH,SLN,2
SLN,BSB,2
BSB,MGS,8
MGS,DLN,2
DLN,BXR,1
BXR,PNBE,1
PNBE,PNC,6
PNC,MKA,1
MKA,KIUL,1
KIUL,JAJ,2
JAJ,JSME,2
JSME,MDP,3
MDP,ASN,1
HWH,BWN,2
BWN,DGR,3
DGR,ASN,4
ASN,DHN,4
DHN,GAYA,3
GAYA,DOS,1
DOS,MGS,1
MGS,BSB,3
BSB,PBH,1
PBH,AME,4
AME,RBL,2
RBL,LKO,3
LKO,BE,2
BE,BC,1
BC,IZN,3
IZN,KHH,1
KHH,LKU,1
ASR,JUC,1
UMB,SRE,6
SRE,MB,2
MB,LKO,2
MGS,SSM,3
SSM,GAYA,3
GAYA,PNME,1
ASN,KOAA,1
CNB,MGS,3
PNC,FUT,2
FUT,KOO,3
KOO,BKP,3
BKP,BARH,2
BARH,MKA,2
MKA,HTZ,1
HTZ,BRYA,1
BRYA,LKR,1
LKR,KIUL,2
KIUL,KJH,1
KJH,AHA,1
AHA,DRH,1
DRH,JMP,1
JMP,BUP,1
BUP,SGG,1
SGG,BGP,1
SDAH,BP,1
BP,NH,2
NH,BDC,4
BDC,BWN,6
DGR,UDL,2
UDL,RNG,3
RNG,ASN,3
RGD,SILO,2
SILO,NLD,2
NLD,POE,2
POE,BEHS,2
BEHS,WENA,1
WENA,HRT,1
HRT,BKP,1
BKP,KOO,3
KOO,FUT,4
FUT,PNC,3
PNC,RJPB,4
RJPB,PNBE,6
PNBE,PWS,2
PWS,DNR,4
DNR,BTA,2
BTA,ARA,2
ARA,DURE,1
DURE,BXR,3
BXR,GMR,1
GMR,DLN,1
DLN,MGS,1
SLN,MFKA,5
MFKA,NHH,5
SPN,BE,5
BE,MB,6
MB,GZB,2
NDLS,GZB,5
GZB,MB,4
BE,SPN,3
SPN,LKO,1
NHH,MFKA,3
MFKA,SLN,3
SLN,JOP,2
JOP,BSB,2
DLN,GMR,1
GMR,BXR,2
BXR,DURE,1
DURE,ARA,1
ARA,BTA,1
BTA,DNR,1
DNR,PWS,1
PWS,PNBE,1
RJPB,PNC,2
BKP,HRT,1
HRT,WENA,1
WENA,BEHS,1
BEHS,POE,1
POE,NLD,1
NLD,SILO,1
SILO,RGD,1
AII,JP,1
JP,DPA,6
DPA,BNLW,4
BNLW,SWM,3
SWM,AF,1
TDL,FZD,3
FZD,CNB,1
MGS,ARA,2
DNR,PNBE,2
NDLS,ALJN,2
ALJN,CNB,3
ALD,BDL,1
BDL,MGS,1
MGS,CDMR,1
CDMR,BBU,1
BBU,KTQ,2
KTQ,SSM,2
AUBR,RFJ,1
RFJ,GRRU,1
GRRU,GAYA,1
IPR,EKR,2
EKR,HIL,2
HIL,DNWH,1
DNWH,FUT,3
ARA,BEA,2
BEA,DURE,1
BXR,DLN,2
DLN,ZNA,2
ZNA,MGS,2
MGS,MZP,1
MZP,BDL,4
BDL,ALD,2
ALD,CNB,7
CNB,ETW,3
ETW,SKB,3
SKB,FZD,2
FZD,TDL,2
TDL,ALJN,1
ALJN,NDLS,1
MB,SCC,1
SCC,GKP,1
GKP,DEOS,8
DEOS,SV,4
SV,CPR,8
SPJ,KGG,1
KGG,KIR,2
KIR,BOE,1
BOE,NJP,1
NED,PAU,5
AK,MKU,2
MKU,KNW,1
ET,BPL,6
BPL,BINA,3
BINA,JHS,3
JHS,GWL,4
GWL,AGC,3
AGC,NDLS,1
ROK,JHL,1
JHL,SAG,1
SAG,DUI,3
DUI,LDH,2
LDH,PGW,2
PGW,JUC,3
JUC,BEAS,3
BEAS,ASR,3
DBRT,NTSK,1
NTSK,MXN,2
MXN,DMV,2
DMV,DPU,3
DPU,LMG,3
LMG,CPK,1
CPK,GHY,1
GHY,NBQ,2
NBQ,KOJ,5
KOJ,NCB,1
NCB,NJP,1
KNE,KIR,2
KIR,NNA,5
NNA,BJU,2
BJU,PPTA,2
PPTA,DNR,2
DNR,MGS,1
MGS,ALD,5
CNB,NDLS,3
SC,KZJ,3
KZJ,BPQ,1
NGP,BPL,1
JHS,NZM,1
NDLS,PNK,1
PNK,CNB,1
RNC,BRKA,1
BRKA,DTO,2
DTO,GHD,3
GHD,MGS,1
MGS,CNB,2
DEE,DEC,5
DEC,GGN,5
GGN,RE,4
RE,MHRG,2
MHRG,LHU,2
LHU,SDLP,2
SDLP,CUR,2
CUR,RTGH,2
RTGH,RJR,1
RJR,SDGH,1
SDGH,SDF,1
SDF,NPS,1
NPS,BKN,1
HAPA,RJT,5
RJT,WKR,3
WKR,SUNR,4
SUNR,VG,6
VG,ADI,7
BRC,GDA,2
GDA,DHD,2
DHD,MGN,2
MGN,RTM,1
RTM,NAD,3
NAD,SGZ,1
SGZ,RMA,1
RMA,KOTA,2
KOTA,SWM,6
SWM,BTE,2
BTE,MTJ,3
MTJ,NZM,1
NDLS,PNP,1
PNP,UMB,2
PTKC,KTHU,3
KTHU,JAT,3
JAT,UHP,3
UHP,SVDK,3
SVDK,UHP,1
UHP,JAT,3
UMB,PNP,2
PNP,SZM,1
NDLS,MTJ,2
MTJ,BTE,4
BTE,SWM,2
SWM,KOTA,7
KOTA,RMA,4
RMA,NAD,2
NAD,RTM,4
RTM,MGN,2
MGN,DHD,2
DHD,GDA,2
GDA,BRC,2
ADI,VG,5
VG,SUNR,5
SUNR,WKR,4
WKR,RJT,5
RJT,HAPA,5
HAPA,JAM,5
BDTS,BVI,6
BVI,ST,2
ST,AKV,5
AKV,BRC,4
ANND,ADI,2
ADI,MSH,4
MSH,PNU,6
PNU,ABR,6
ABR,JWB,1
JWB,FA,1
FA,RANI,2
RANI,MJ,2
MJ,PMY,3
PMY,LUNI,3
LUNI,JU,5
BKN,NGO,1
NGO,JU,1
JU,LUNI,1
LUNI,SMR,1
SMR,MKSR,2
MKSR,JOR,2
JOR,MON,2
MON,MBNL,2
MBNL,RNV,2
RNV,DQN,2
DQN,BLDI,2
BLDI,PNU,1
PNU,MSH,6
MSH,ADI,4
BRC,ST,6
ST,VAPI,6
VAPI,BVI,4
BVI,DDR,3
KOAA,BDC,1
BDC,NDAE,2
NDAE,KWAE,3
KWAE,AZ,2
AZ,MLDT,1
MLDT,KNE,1
NBQ,GLPT,4
GLPT,GHY,2
LJN,BNZ,4
BNZ,GD,1
GD,BST,7
BST,GKP,5
CPR,DGA,3
DGA,PPTA,1
BNZ,BBK,4
KLD,SWA,1
SWA,GKP,2
YPR,BWT,1
KPD,RU,3
BZA,WL,2
WL,BPQ,2
LTT,IGP,1
ORAI,PHN,1
PHN,CNB,1
CNB,LJN,3
LJN,GD,1
GD,BV,1
GZB,ALJN,2
ALJN,TDL,3
CPR,SEE,9
SEE,HJP,13
SPJ,DSS,2
DSS,BJU,1
MFP,MTR,1
MTR,MAI,1
MAI,CAA,2
CAA,BMKI,1
BMKI,SGL,1
SGL,BTH,2
BTH,NKE,2
NKE,HIR,2
HIR,BUG,1
BUG,SBZ,1
SBZ,CPJ,1
CPJ,GKP,2
GKP,LKO,1
LKO,MB,1
MB,ANVT,1
ALD,GYN,1
GYN,BHLP,1
BHLP,BSB,1
BSB,ARJ,1
