Source,Target,Weight
AJNI,NGP,2
AJNI,SNI,2
SNI,SEGM,2
SEGM,WR,2
DMN,CND,2
CND,BD,2
BD,MZR,2
MZR,AK,2
SEG,JM,2
JM,NN,2
NN,MKU,2
MKU,BDWD,2
BDWD,VNA,1
VNA,BSL,1
JL,PC,3
PC,CSN,3
CSN,NGN,3
NGN,MMR,3
MMR,LS,4
LS,NR,2
NR,NK,2
NK,DVL,5
DVL,IGP,4
IGP,KSRA,4
KSRA,KYN,3
LTT,NK,1
KNW,BPL,1
CNB,LKO,3
LKO,NHH,3
NHH,MFKA,1
MFKA,SLN,1
JBP,MML,5
MML,SRID,3
SRID,NU,3
NU,KY,4
KY,GAR,3
GAR,PPI,4
PPI,SGP,3
SGP,ET,3
ET,BZU,2
BZU,AMLA,3
AMLA,PAR,1
PAR,NRKR,4
NRKR,KATL,3
KATL,NGP,3
NGP,SNI,1
SNI,WR,1
IGP,NK,4
MMR,JL,2
BSL,BAU,3
BAU,KNW,3
KNW,HD,4
HD,TBN,1
TBN,ET,1
ET,HBJ,2
HBJ,BPL,5
JHS,DBA,2
GWL,MRA,3
MRA,AGC,2
HW,RK,2
RK,TPZ,2
TPZ,MTC,1
MTC,NZM,1
NZM,AGC,1
AGC,JHS,1
JHS,BPL,5
BPL,BSL,1
REWA,STA,2
STA,UHR,2
UHR,MYR,3
MYR,KTE,3
DMO,PHA,2
PHA,SGO,1
SGO,KYE,2
KYE,BINA,2
BINA,MABA,3
MABA,BAQ,3
BAQ,BHS,4
NU,GAR,2
KYN,DR,2
NZM,BVH,2
BVH,PWL,4
KSV,MTJ,2
MTJ,RKM,5
RKM,AGC,5
AGC,DHO,5
DHO,MRA,3
MRA,GWL,2
JHS,NEW,1
NEW,MRPR,1
MRPR,HPP,1
HPP,BTX,1
BTX,MBA,1
MBA,BNDA,1
BNDA,ATE,1
ATE,CKTD,1
CKTD,MJG,1
MJG,JTW,1
JTW,STA,2
STA,MYR,2
KTE,SHR,3
SHR,JBP,4
KGM,HDW,1
HDW,LKU,1
LKU,RUPC,1
RUPC,BLQR,1
BLQR,RMU,1
RMU,MB,5
MB,LRJ,4
LRJ,SRE,2
SRE,YJUD,5
YJUD,UMB,2
UMB,LDH,6
LDH,JRC,5
JRC,PTKC,5
PTKC,KTHU,5
KTHU,JAT,4
LJN,SPN,1
SPN,BE,6
BE,BC,1
BC,IZN,3
IZN,BPR,2
BPR,BHI,1
BHI,KHH,3
KHH,LKU,1
LKU,HDW,2
HDW,KGM,2
DEE,HBJ,1
HBJ,BPQ,1
BPQ,SC,2
SC,GTL,1
GTL,YPR,1
LKO,HRI,3
HRI,SPN,4
BE,RMU,4
MB,HPU,1
HPU,GZB,2
GZB,NDLS,4
HWH,ASN,1
