Source,Target,Weight
MHPE,CHOK,1
CHOK,KJT,1
CCH,PUNE,5
PUNE,CCH,5
KJT,CHOK,1
CHOK,MHPE,1
MHPE,CKHS,1
CKHS,PNVL,1
PNVL,KYN,6
NK,LS,5
LS,MMR,10
MMR,CSN,10
CSN,KJ,1
KJ,PC,1
LNL,KK,2
KK,PUNE,2
BGVN,JEUR,5
KWV,MA,2
MA,MO,2
MO,SUR,3
SUR,HG,7
HG,AKOR,1
AKOR,DUD,3
WADI,NW,5
NW,YG,6
YG,SADP,6
SADP,KSN,4
RC,MTU,2
MTU,MALM,3
MALM,KO,3
KO,KGL,3
KGL,AD,2
AD,NRR,3
NRR,GTL,2
GY,RLO,2
RLO,TU,2
TU,KDP,10
KDP,MOO,6
MOO,YA,9
YA,KKM,7
KKM,HX,7
HX,NRE,8
NRE,RJP,8
RJP,KOU,14
KOU,RU,16
RU,PUT,9
PUT,TRT,4
TRT,AJJ,26
AJJ,TRL,11
TRL,PER,9
PER,MAS,40
MAS,TRL,7
TRL,AJJ,11
AJJ,TRT,25
TRT,PUT,4
PUT,RU,9
RU,KOU,15
KOU,RJP,13
RJP,NRE,7
NRE,HX,8
HX,KKM,7
KKM,YA,7
YA,MOO,8
MOO,KDP,6
KDP,TU,10
TU,RLO,2
RLO,GY,2
GTL,NRR,2
NRR,AD,3
AD,KGL,2
KGL,KO,3
KO,MALM,3
MALM,MTU,3
MTU,RC,2
KSN,SADP,4
SADP,YG,6
YG,NW,6
NW,WADI,5
DUD,AKOR,2
AKOR,HG,1
HG,SUR,6
SUR,MO,3
MO,MA,3
MA,KWV,3
JEUR,BGVN,5
PUNE,KK,3
KK,LNL,2
TGN,CCH,2
CCH,KK,1
PUNE,GPR,4
GPR,JJR,2
KRG,RMP,4
RMP,TAZ,4
TAZ,MSR,4
MSR,SIW,3
SIW,KRD,3
TKR,KOV,5
HTK,NMGT,3
NMGT,JSP,3
MRJ,VRB,4
VRB,SLI,4
KOV,TKR,5
KRD,MSR,2
MSR,TAZ,4
TAZ,RMP,4
RMP,KRG,4
SVJR,CCH,1
CCH,TGN,2
HG,IDR,5
IDR,NBL,6
NBL,BJP,4
BJP,NBL,3
NBL,IDR,6
IDR,HG,5
BAP,KPG,13
KPG,MMR,36
MMR,BSL,40
BSL,KNW,39
KNW,ET,37
ET,PPI,29
PPI,NU,19
NU,JBP,17
JBP,KTE,49
KTE,STA,40
STA,ALD,17
ALD,ALY,11
ALY,GYN,11
GYN,MUV,7
MUV,BSB,9
BSB,BCY,12
BCY,ARJ,10
ARJ,GCT,12
GCT,BUI,9
BUI,CPR,17
CPR,SEE,25
SEE,HJP,50
HJP,MFP,35
MFP,SPJ,32
SPJ,LSI,7
LSI,DBG,23
DBG,LSI,23
LSI,SPJ,7
SPJ,MFP,33
MFP,HJP,36
HJP,SEE,51
SEE,CPR,26
CPR,BUI,17
BUI,GCT,10
GCT,ARJ,12
ARJ,BCY,9
BCY,BSB,11
BSB,MUV,8
MUV,GYN,7
GYN,ALY,10
ALY,ALD,11
ALD,STA,17
STA,KTE,41
KTE,JBP,49
JBP,NU,17
NU,PPI,18
PPI,ET,29
ET,KNW,38
KNW,BSL,39
BSL,MMR,41
MMR,KPG,35
KPG,BAP,13
KRD,SLI,10
ASK,HAS,5
HAS,HLN,5
HLN,KRNR,3
KRNR,MYS,5
MYS,KRNR,5
KRNR,HLN,3
HLN,HAS,5
HAS,ASK,5
SLI,KRD,10
DD,KPG,3
ET,JBP,28
STA,MKP,22
MKP,ALD,9
ALD,BSB,1
BSB,MAU,2
MAU,DEOS,2
DEOS,GKP,32
GKP,DEOS,32
DEOS,MAU,3
MAU,BSB,2
BSB,ALD,1
ALD,MKP,9
MKP,STA,22
JBP,ET,28
JL,MMR,17
KPG,DD,3
TKR,BVNR,3
BVNR,KRD,1
STR,JSV,3
JSV,WTR,1
JJR,ABLE,1
ABLE,GPR,1
PUNE,URI,7
URI,KDG,3
KDG,DD,3
PB,KPG,7
KPG,YL,4
YL,MMR,2
BSL,BDWD,1
BDWD,MKU,4
MKU,NN,10
NN,JM,9
JM,SEG,9
BD,CND,6
CND,DMN,9
WR,SEGM,5
SEGM,TGP,1
TGP,SNI,4
SNI,AJNI,4
AJNI,NGP,9
NGP,ITR,4
ITR,KP,3
KP,BRD,7
BRD,TMR,14
TMR,TRO,7
TRO,G,7
G,TRO,7
TRO,TMR,7
TMR,BRD,14
BRD,KP,7
KP,ITR,3
ITR,NGP,4
NGP,AJNI,8
AJNI,SEGM,1
SEGM,WR,6
WR,PLO,16
PLO,DMN,16
DMN,CND,6
CND,BD,6
BD,MZR,14
MZR,AK,14
AK,SEG,17
SEG,JM,9
JM,NN,9
NN,MKU,10
MKU,BDWD,4
BDWD,VNA,3
VNA,BSL,6
MMR,YL,1
YL,KPG,4
KPG,PB,7
DD,KDG,3
KDG,URI,3
URI,PUNE,7
WTR,JSV,1
JSV,STR,3
MSR,KRD,1
KRD,BVNR,1
BVNR,TKR,3
DD,KWV,12
AJJ,PER,29
MAS,AJJ,37
WADI,RC,5
GY,HX,1
HX,RJP,12
RJP,RU,4
AJJ,CJ,2
CJ,CGL,3
VM,VRI,26
VRI,TPJ,11
TPJ,DG,22
DG,TPJ,21
TPJ,VRI,12
VRI,VM,27
CGL,CJ,6
CJ,AJJ,4
RU,RJP,4
RJP,HX,11
HX,GY,1
RC,WADI,5
KOP,MRJ,5
MRJ,STR,1
ANG,KPG,10
MMR,AWB,4
AWB,J,25
J,PBN,9
NED,KNVT,1
KNVT,ADB,7
ADB,MJRI,1
MJRI,SEGM,1
SEGM,NGP,25
NGP,NRKR,3
NRKR,PAR,11
PAR,AMLA,9
AMLA,BZU,21
BZU,GDYA,20
GDYA,ET,19
GYN,BSB,6
BSB,MGS,37
MGS,BBU,18
BBU,SSM,18
SSM,DOS,28
DOS,GAYA,11
GAYA,KQR,28
KQR,PNME,12
PNME,DHN,7
DHN,PNME,7
PNME,KQR,12
KQR,GAYA,28
GAYA,DOS,11
DOS,SSM,28
SSM,BBU,18
BBU,MGS,18
MGS,BSB,36
BSB,GYN,7
ET,GDYA,19
GDYA,BZU,20
BZU,AMLA,21
AMLA,PAR,9
PAR,NRKR,13
NRKR,NGP,3
NGP,SEGM,26
SEGM,MJRI,1
MJRI,ADB,1
ADB,KNVT,8
KNVT,NED,1
PBN,J,10
J,AWB,25
AWB,MMR,5
KPG,ANG,9
STR,MRJ,2
MRJ,KOP,6
MRJ,SED,1
SED,UGR,6
UGR,KUD,7
KUD,CNC,7
CNC,RBG,7
RBG,GPB,4
GPB,RBG,4
RBG,CNC,7
CNC,KUD,7
KUD,UGR,7
UGR,SED,6
SED,MRJ,1
ADI,ND,58
ND,ANND,67
ANND,BRC,86
BRC,BH,57
BH,ST,53
ST,NVS,29
NVS,VAPI,3
VAPI,BSR,12
BSR,BIRD,17
BIRD,KYN,13
STR,SLI,2
SLI,STR,1
KYN,BIRD,13
BIRD,BSR,17
BSR,VAPI,12
VAPI,NVS,3
NVS,ST,28
ST,BH,53
BH,BRC,57
BRC,ANND,86
ANND,ND,67
ND,ADI,51
PVR,SGLA,7
SGLA,DLGN,2
DLGN,KVK,4
KVK,MRJ,2
MRJ,KVK,2
KVK,DLGN,4
DLGN,SGLA,2
SGLA,PVR,6
KYN,NK,21
NK,BSL,15
BSL,HD,1
HD,ET,19
JBP,STA,6
ALD,JNH,8
JNH,MAY,6
MAY,JNU,3
JNU,SHG,14
SHG,KRND,8
KRND,SMZ,8
SMZ,AMH,5
AMH,SMZ,7
SMZ,KRND,10
KRND,SHG,8
SHG,JNU,14
JNU,MAY,3
MAY,JNH,6
JNH,ALD,7
STA,JBP,7
ET,HD,19
HD,BSL,1
BSL,NK,15
NK,KYN,21
BSL,ET,9
ALD,PLP,3
PLP,JNH,4
MAY,ZBD,3
ZBD,JNU,15
AMH,MMA,8
MMA,MAU,9
MAU,BLTR,5
BLTR,DEOS,1
DEOS,BLTR,1
BLTR,MAU,5
MAU,MMA,6
MMA,AMH,6
JNU,ZBD,15
ZBD,MAY,3
JNH,PLP,4
PLP,ALD,3
ET,BSL,10
BSL,SAV,1
SAV,NB,3
NB,RV,3
KNW,TLV,3
TLV,CAER,2
CAER,KKN,3
TBN,BPF,5
BPF,ET,6
HBD,BNI,3
BNI,ODG,1
ODG,MDDP,4
BPL,SCI,2
SCI,BHS,5
BHS,GLG,3
GLG,BAQ,3
BAQ,MABA,7
MABA,BINA,10
BINA,DUA,5
DUA,JLN,6
JLN,LAR,4
LAR,TBT,5
TBT,BZY,2
BZY,BAB,2
JHS,DAA,18
DAA,SOR,4
SOR,DBA,2
DBA,GWL,20
GWL,MRA,24
MRA,DHO,16
DHO,AGC,18
AGC,RKM,31
RKM,MTJ,20
MTJ,KSV,7
KSV,PWL,8
PWL,BVH,5
BVH,FDB,7
FDB,NZM,28
NZM,NDLS,33
NDLS,SZM,7
SZM,BHD,2
BHD,NUR,2
NUR,SNP,6
SNP,GNU,8
GNU,SMK,9
SMK,PNP,9
PNP,GRA,5
GRA,KUN,5
KUN,TRR,4
TRR,NLKR,8
NLKR,KKDE,3
KKDE,SHDM,4
SHDM,UMB,4
UMB,UBC,29
UBC,RPJ,17
RPJ,PTA,7
PTA,NBA,6
NBA,DUI,6
DUI,MET,8
MET,AHH,3
AHH,LDH,1
LDH,PHR,19
PHR,GRY,4
GRY,PGW,5
PGW,JRC,20
JRC,JUC,25
JUC,BEAS,41
BEAS,JNL,3
JNL,ASR,3
ASR,JNL,6
JNL,BEAS,5
BEAS,KRE,6
KRE,JUC,7
